4twp	4twp_protein_Repair_1	2v7a_ligand_similar_254	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_255	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_256	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_257	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_258	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_259	-7.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_26	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_260	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_261	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_262	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_263	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_264	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_265	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_266	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_267	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_268	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_269	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_27	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_270	-9.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_271	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_272	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_273	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_274	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_275	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_276	-7.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_277	-7.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_278	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_279	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_28	-9.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_280	-7.3
