pdb,ligand_file,chembl_id,tanimoto_index
2c3i,3bgz_ligand_similar_180,CHEMBL1401782,0.62
2c3i,5dwr_ligand_similar_258,CHEMBL3651988,0.717073
2c3i,5dwr_ligand_similar_34,CHEMBL3651983,0.939759
2c3i,2c3i_ligand_similar_431,CHEMBL2380316,0.635417
2c3i,3jya_ligand_similar_7,CHEMBL575469,0.679389
2c3i,5dwr_ligand_similar_193,CHEMBL3639863,0.814433
2c3i,3bgz_ligand_similar_119,CHEMBL2035031,0.636364
2c3i,3bgz_ligand_similar_6,CHEMBL3794087,0.797872
2c3i,3bgz_ligand_similar_262,CHEMBL160289,0.607477
2c3i,5dwr_ligand_similar_114,CHEMBL3651979,0.885542
2c3i,5dwr_ligand_similar_32,CHEMBL3651975,0.945455
2c3i,2c3i_ligand_similar_406,CHEMBL4071234,0.648515
2c3i,2c3i_ligand_similar_448,CHEMBL4069158,0.625
2c3i,2c3i_ligand_similar_241,CHEMBL3894085,0.716495
2c3i,2c3i_ligand_similar_152,CHEMBL496113,0.741573
2c3i,2c3i_ligand_similar_87,CHEMBL496114,0.769231
2c3i,2c3i_ligand_similar_407,CHEMBL3988931,0.64486
2c3i,3bgz_ligand_similar_276,CHEMBL160627,0.605769
2c3i,2c3i_ligand_similar_209,CHEMBL3937592,0.723958
2c3i,2c3i_ligand_similar_419,CHEMBL450568,0.64
2c3i,2c3i_ligand_similar_420,CHEMBL200650,0.63981
2c3i,2c3i_ligand_similar_251,CHEMBL1669342,0.712195
2c3i,3bgz_ligand_similar_118,CHEMBL2037001,0.636364
2c3i,2c3i_ligand_similar_100,CHEMBL3968084,0.764706
2c3i,3bgz_ligand_similar_1,CHEMBL406652,0.902174
2c3i,3bgz_ligand_similar_218,CHEMBL1447325,0.612245
2c3i,2c3i_ligand_similar_380,CHEMBL3950741,0.662037
2c3i,2c3i_ligand_similar_507,CHEMBL3234055,0.60452
